"","player","team","points","pet","division","spct","pregame_drink","country"
"1","Draisaitl","EDM",25,"Cat","PAC",17,"Coffee","Germany"
"2","McDavid","EDM",25,"Dog","PAC",9.3,"Redbull","Canada"
"3","Bouchard","EDM",22,"Rabbit","PAC",10.2,"Juice","Canada"
"4","Trocheck","NYR",18,"Cat","MET",18.9,"Water","USA"
"5","Tkachuk","FLA",18,"Dog","ATL",9.4,"Coffee","USA"
"6","Nugent-Hopkins","EDM",17,"Rabbit","PAC",19,"Redbull","Canada"
"7","Hyman","EDM",16,"Snake","PAC",20.6,"Juice","Canada"
"8","Vergaeghe","FLA",16,"Cat","ATL",14.5,"Water","Canada"
"9","Robertson","DAL",16,"Dog","CEN",18.2,"Coffee","USA"
"10","Barkov","FLA",15,"Rabbit","ATL",16.7,"Redbull","Finland"
"11","Heiskanen","DAL",15,"None","CEN",16.2,"Juice","Finland"
"12","Makar","COL",15,"Cat","CEN",13.9,"Water","Canada"
"13","Zibanejad","NYR",14,"Dog","MET",9.7,"Coffee","Sweden"
"14","MacKinnon","COL",14,"Dog","CEN",8.7,"Redbull","Canada"
"15","Rantanen","COL",14,"None","CEN",12.5,"Coffee","Finland"
"16","Johnston","COL",14,"Dog","CEN",15.7,"Coffee","Canada"
"17","Benn","DAL",13,"Dog","CEN",11.8,"Redbull","Canada"
"18","Seguin","DAL",12,"Cat","CEN",9.8,"Juice","Canada"
"19","Miller","VAN",12,"Dog","PAC",10.3,"Water","USA"
"20","Panarin","NYR",12,"None","MET",11.4,"Coffee","Russian"
"21","Bryam","BUF",9,"Rabbit","ATL",14.3,"Redbull","Canada"
"22","Lafreniere","NYR",14,"Cat","MET",18.6,"Redbull","Canada"
"23","Reinhart","FLA",13,"Dog","ATL",11.76,"Juice","Canada"
"24","Kreider","NYR",12,"Rabbit","MET",20.51,"Coffee","USA"
"25","Boeser","VAN",12,"Cat","PAC",25.93,"Water","USA"
"26","Lundell","FLA",12,"Dog","ATL",14.29,"Coffee","Finland"
